user_id,datei,dev,years,item_id
76561197970982479,2011-11-05,Kotoshiro,2018.0,761140.0
js41637,2011-07-15,Secret Level SRL,2017.0,643980.0
evcentric,2011-04-21,Poolians.com,2016.0,670290.0
Riot-Punch,2014-06-24,彼岸领域,1997.0,767400.0
doctr,2013-09-08,unknown,1998.0,773570.0
MinxIsBetterThanPotatoes,2013-11-29,Trickjump Games Ltd,2006.0,772540.0
NitemarePK,2016-02-03,Poppermost Productions,2005.0,774276.0
themanwich,2015-12-04,RewindApp,2003.0,774277.0
maplemage,2014-11-03,Qucheza,2007.0,774278.0
Wackky,2014-10-15,Stegalosaurus Game Development,2002.0,768800.0
corrupted_soul,2013-10-14,Copperpick Studio,2000.0,768570.0
76561198079601835,2012-07-28,Ghulam Jewel,1995.0,724910.0
jorellpogi,2012-06-02,Apillo,1996.0,770380.0
cadmusthreepointoh,2014-06-29,Tero Lunkka,1994.0,768880.0
76561198064823719,2012-11-22,FrozenPepper,2001.0,765320.0
MeaTCompany,2012-02-23,Casey Labrack,1993.0,773650.0
76561198089393905,2014-04-15,Stainless Games Ltd,2004.0,774271.0
76561198156664158,2013-12-23,Valve,1999.0,773690.0
76561198077246154,2014-03-14,dev4play,2008.0,774279.0
76561198070234207,2013-07-11,BlueLine Games,2009.0,772590.0
WeiEDKrSat,2014-05-05,Games by Brundle,1992.0,640250.0
thequeenpanda,2012-12-24,ETGgames,1989.0,768060.0
death-hunter,2012-10-21,ProjectorGames,2010.0,711440.0
turneddreamsintoanempire,2012-03-20,Unknown Indie Devs,2011.0,775880.0
DJKamBer,2012-03-09,The Commander,2013.0,775881.0
76561198030389591,2016-05-20,"lalalaZero,Urbanoff",2012.0,653960.0
Rainbow-Dashie,2016-07-24,Strategy First,2014.0,777910.0
btuty8trgt,2015-02-01,Outerlight Ltd.,1983.0,282010.0
76561198043472122,2014-06-20,Zachary M Thomas,1984.0,70.0
MarbleShrine,2016-06-16,Breakout Studio,2015.0,752360.0
fdcfelipefdc,2016-06-11,"zha7,Phaedruns,Yingke Wu",1990.0,594200.0
hellom8o,2014-08-25,Ultraint,1988.0,520680.0
bbaekhyun,2013-12-25,Seth Albertus,1991.0,690410.0
Moomfina,2012-06-23,TPM.CO SOFT WORKS,1985.0,766850.0
PPanther,2015-09-05,Wonderbox Games,1982.0,413120.0
ABSOLUTLY_NOTHING,2015-03-30,Mad Unicorn Games,1987.0,773120.0
devvonst,2014-02-19,Emanon Studios,1981.0,680970.0
Fr0stedLine,2014-07-14,GlyphX Games,1986.0,754360.0
starkillershadow553,2013-04-27,Introversion Software,2021.0,716110.0
76561198058373434,2015-07-20,Facepunch Studios,2019.0,1640.0
76561198048353577,2013-11-04,SimBin,1975.0,1630.0
76561198072190369,2013-07-12,Unknown Worlds Entertainment,1970.0,2400.0
76561198066046412,2012-08-19,"CINEMAX, s.r.o.",1980.0,662570.0
tru_mu_,2015-06-19,Sick Puppies,,381620.0
wirlom,2014-09-20,Deepred,,714020.0
76561198070565427,2014-09-07,Funcom,,541930.0
SavageEeEe,2014-12-19,Bugbear Entertainment,,759920.0
76561198076909484,2015-02-17,"CAPCOM Co., Ltd.",,659780.0
76561198066908262,2014-06-07,"FireFly Studios,Firaxis Games",,603280.0
