,item_id,sentiment_analysis
0,1250,2
1,22200,2
2,43110,1
3,251610,2
4,227300,1
5,239030,1
6,248820,2
7,370360,2
8,237930,2
9,263360,0
10,107200,2
11,224500,2
12,250320,2
13,20920,2
14,204100,2
15,224600,2
16,207610,0
17,108710,2
18,211420,1
19,211820,1
20,730,2
21,204300,2
22,249130,0
23,207610,0
24,550,1
25,65800,0
26,220,2
27,730,1
28,730,1
29,72850,0
30,440,1
31,252950,2
32,440,1
33,304930,2
34,4000,1
35,42910,1
36,232090,1
37,1250,2
38,4000,2
39,304930,0
40,570,2
41,218620,2
42,224260,1
43,1250,2
44,440,1
45,730,2
46,440,2
47,49520,0
48,33440,0
49,220200,2
50,211820,1
51,440,2
52,218740,1
53,550,2
54,220,2
55,238090,2
56,242130,1
57,277430,1
58,8870,1
59,368230,0
60,4000,2
61,33930,1
62,359320,0
63,219640,2
64,287980,1
65,218620,1
66,208090,1
67,242700,1
68,570,1
69,224260,1
70,221100,2
71,570,0
72,331470,2
73,4000,1
74,323370,2
75,304930,2
76,12210,2
77,265210,1
78,48700,1
79,238460,2
80,34900,2
81,730,2
82,113200,1
83,440,2
84,383080,2
85,213670,1
86,105600,0
87,730,1
88,570,2
89,231180,2
90,620,2
91,271290,2
92,4000,2
93,317360,2
94,223710,1
95,299360,2
96,322330,2
97,1250,0
98,12100,1
99,204360,2
100,440,0
101,224260,1
102,440,2
103,304930,1
104,440,2
105,1840,2
106,440,2
107,440,2
108,233250,0
109,449140,2
110,368730,0
111,246280,2
112,427270,2
113,397100,2
114,248570,0
115,298630,1
116,244210,1
117,440,0
118,376920,2
119,257750,1
120,221910,0
121,2280,2
122,417860,1
123,218620,2
124,218620,1
125,222880,1
126,377160,2
127,211820,1
128,252490,2
129,440,1
130,242920,1
131,251990,2
132,344760,0
133,252950,1
134,236430,1
135,399730,2
136,550,1
137,377160,2
138,219150,2
139,277430,2
140,239820,2
141,17410,2
142,440,2
143,270550,1
144,274940,2
145,333930,1
146,440,0
147,730,2
148,294100,0
149,212070,2
150,264140,1
151,332800,1
152,319630,2
153,6020,1
154,55230,2
155,32430,1
156,377160,1
157,440,1
158,35450,2
159,440,1
160,236390,2
161,351570,1
162,212680,0
163,391540,1
164,550,1
165,440,2
166,570,1
167,72850,2
168,440,1
169,113400,0
170,440,1
171,200510,2
172,730,2
173,383080,1
174,200210,2
175,1250,0
176,72850,2
177,304050,0
178,265610,1
179,264200,1
180,417860,1
181,333600,2
182,213670,1
183,91310,1
184,437220,1
185,210770,0
186,351640,1
187,202530,1
188,105600,2
189,440,2
190,47870,2
191,383080,2
192,410,2
193,730,2
194,253710,1
195,339280,2
196,271290,2
197,203290,2
198,440,1
199,233150,0
200,550,1
201,730,2
202,211820,2
203,440,2
204,346330,1
205,224260,2
206,317360,2
207,295550,2
208,250180,2
209,227940,1
210,17520,1
211,113420,2
212,320760,0
213,8850,1
214,233720,1
215,218620,0
216,730,2
217,219740,2
218,220240,1
219,440,1
220,4000,2
221,304930,2
222,333950,1
223,388520,1
224,107410,1
225,206210,1
226,221100,2
227,299740,0
228,730,0
229,440,1
230,209870,1
231,322170,2
232,304050,2
233,440,2
234,730,2
235,362890,2
236,413850,1
237,730,2
238,346110,1
239,570,2
240,311560,1
241,322170,1
242,48240,0
243,440,2
244,248570,1
245,264140,0
246,4000,1
247,266430,2
248,316010,2
249,249570,1
250,730,1
251,240,0
252,304930,1
253,440,1
254,730,0
255,333930,0
256,365590,1
257,264200,2
258,440,2
259,298050,2
260,383080,1
261,440,2
262,301520,2
263,243870,2
264,218230,2
265,291550,1
266,251570,2
267,221100,1
268,316010,2
269,218230,1
270,333930,2
271,222880,1
272,730,1
273,55230,2
274,232090,2
275,4000,0
276,206420,2
277,224260,1
278,550,2
279,346110,1
280,380770,0
281,454890,1
282,227680,1
283,570,1
284,233250,1
285,273350,2
286,730,0
287,440,1
288,730,2
289,570,0
290,730,2
291,370480,2
292,313740,1
293,1840,2
294,440,2
295,266210,2
296,369200,0
297,252490,0
298,264200,2
299,292030,1
300,287700,0
301,730,0
302,310950,1
303,377160,1
304,221380,1
305,333950,2
306,222420,1
307,271590,1
308,298110,1
309,222440,2
310,259530,2
311,219640,0
312,269210,0
313,317470,0
314,47410,2
315,730,1
316,365450,1
317,245620,2
318,70,1
319,359550,0
320,274980,1
321,202090,2
