funny,posted,last_edited,item_id,helpful,recommend,sentiment_analysis
,"Posted December 11, 2014.",,224540,1 of 2 people (50%) found this review helpful,True,1
,"Posted December 11, 2014.",,257750,No ratings yet,True,1
,"Posted December 11, 2014.",,63710,No ratings yet,True,1
,"Posted December 11, 2014.",,250900,No ratings yet,True,2
,"Posted December 11, 2014.",,113200,No ratings yet,True,2
,"Posted December 11, 2014.",,49600,No ratings yet,True,2
,"Posted December 11, 2014.",,238460,No ratings yet,True,2
,"Posted December 11, 2014.",,204300,No ratings yet,True,2
,"Posted December 11, 2014.",,12900,No ratings yet,True,1
,"Posted December 8, 2014.",,282800,No ratings yet,True,1
